Region,Volume,XYZ_1,XYZ_2,XYZ_3,maxZ
Multiple regions,23200,18,-62,-26,7.03448691004784
Cblm_VI_L,5560,-26,-68,-24,6.20500993728638
Ctx_PH_R,128,44,-56,-16,4.45578527450562
Bstem_Ponscd,96,-16,-14,-14,4.86946392059326
Ctx_FFC_R,368,38,-68,-10,5.06312894821167
Ctx_47l_R,336,38,28,-8,7.03448691004784
Ctx_p47r_R,608,42,42,0,4.58400630950928
STN_R,112,4,-10,-8,5.10724258422852
Ctx_p47r_L,416,-44,42,-6,4.63016939163208
Ctx_V1_L,880,-14,-100,2,6.08679389953613
Ctx_TPOJ2_R,1808,44,-60,4,6.01536226272583
Multiple regions,3856,-48,2,12,6.54466485977173
Ctx_a47r_R,104,42,56,-2,3.60417366027832
Ctx_44_R,1944,48,12,10,6.54191207885742
Ctx_V2_R,2272,22,-96,8,7.03448691004784
Ctx_FST_L,456,-44,-62,4,6.71884298324585
Ctx_FOP2_R,128,36,0,14,4.88827228546143
Ctx_PFcm_L,872,-52,-26,18,5.90954256057739
Ctx_9_46d_R,104,30,36,18,4.27730846405029
Ctx_PSL_R,304,62,-34,18,6.23739814758301
Ctx_6v_R,80,58,14,22,3.61648035049438
Ctx_PFop_R,208,58,-20,28,4.25638103485107
Multiple regions,10864,-42,-20,52,7.03448691004784
Ctx_6v_R,840,48,8,36,4.57972478866577
Ctx_p9_46v_L,96,-44,32,36,3.87608122825623
Ctx_AIP_L,576,-32,-40,38,5.05241298675537
Ctx_PF_L,104,-60,-38,38,3.91358351707458
Ctx_PF_R,80,62,-22,42,3.72431015968323
Ctx_LIPv_L,216,-24,-52,50,3.9562611579895
Ctx_PF_R,184,54,-32,48,3.69343495368958
Ctx_PFm_R,144,46,-40,50,3.89498162269592
Ctx_AIP_R,168,28,-44,50,5.82245492935181
Ctx_6a_L,416,-20,-8,54,5.39440298080444
Ctx_SCEF_L,240,-6,-4,56,4.0824499130249
Ctx_6ma_R,128,18,2,64,4.70837783813477
Cblm_IX_L,80,0,-60,-54,-3.90120458602905
Cblm_VIIIb_L,88,-16,-50,-52,-4.08364009857178
Ctx_PeEc_L,328,-34,-8,-44,-6.88303470611572
Bstem_Ponscv_R,192,10,-22,-42,-7.04237794876099
Cblm_CrusII_R,376,12,-88,-40,-5.90587902069092
Cblm_CrusII_L,352,-14,-90,-40,-4.81374406814575
Ctx_EC_L,104,-20,-16,-28,-3.87553453445435
Multiple regions,59568,16,-38,40,-13.4819173812866
Ctx_STSda_L,1088,-54,-12,-12,-6.00850057601929
Ctx_PHA3_L,872,-30,-42,-12,-7.53259086608887
Ctx_H_L,216,-28,-10,-18,-5.49584865570068
CA1_Hippocampus_,120,42,-22,-18,-6.33545017242432
Ctx_47m_L,80,-32,32,-14,-3.74818205833435
Ctx_PHA2_R,576,30,-42,-10,-4.98632097244263
Ctx_V1_L,104,-20,-100,-10,-4.43834781646729
Ctx_45_L,88,-54,26,-6,-4.76780271530151
No label,112,-48,-46,-6,-4.31295680999756
Ctx_A5_L,80,-64,-12,-4,-3.7577953338623
Ctx_a10p_R,128,30,66,-4,-3.83223176002502
Ctx_10d_R,272,16,68,0,-4.76304817199707
V_Striatum_L,128,0,12,-2,-5.30649900436401
Ctx_MBelt_L,80,-46,-16,4,-4.22243118286133
Thal_Pulv,728,8,-30,4,-5.12088632583618
Ctx_POS1_L,232,-8,-52,10,-3.87538290023804
Ctx_V3_R,152,12,-86,12,-4.13815116882324
Ctx_PGp_R,6504,44,-76,26,-12.1868858337402
Cau_R,144,24,-30,12,-4.63511896133423
Ctx_V3_L,536,-8,-96,22,-5.97528076171875
Ctx_STV_L,160,-58,-56,18,-3.88702750205994
Caudate_Cp_R,200,18,-18,20,-6.35563993453979
Ctx_V3A_R,112,12,-92,26,-3.65906143188477
Ctx_4_L,864,-46,-12,32,-5.64586353302002
Ctx_23c_L,800,-8,-14,34,-5.94462871551514
Ctx_24dv_R,368,8,-12,42,-5.2101845741272
Ctx_8Ad_L,128,-24,32,44,-4.12130498886108
Ctx_8Ad_R,352,22,26,50,-7.4125828742981
Ctx_s6_8_L,192,-28,22,58,-4.58475494384766
