Region,Volume,XYZ_1,XYZ_2,XYZ_3,maxZ
Region004,16,-30,-62,-54,3.74192070960999
Region005,296,36,-50,-52,4.98392677307129
Region006,248,10,-62,-50,5.45640230178833
Region009,32,34,-66,-46,4.28027629852295
Region010,8,-2,-66,-48,3.68465232849121
Region011,8,34,-40,-46,3.28465676307678
Region016,8,-14,-58,-42,3.29291486740112
Region017,376,46,-50,-38,7.03448691004784
Region018,16,42,2,-40,3.31742024421692
Region021,72,6,-24,-36,6.03467893600464
Region023,16,-12,-48,-36,3.51296448707581
Region024,16,-14,-40,-36,3.55718207359314
Region025,24,16,-16,-36,3.66163945198059
Region028,8,-18,-60,-34,3.38312649726868
Region030,296,28,-64,-28,4.78644561767578
Region031,136,-36,-56,-30,3.6916344165802
Region032,840,26,-50,-24,7.03448691004784
Region034,8,32,6,-32,4.04253387451172
Region035,8,-20,-64,-30,3.38479399681091
Region039,8,-22,-66,-28,3.33164358139038
Region043,56,-36,-66,-24,4.25471162796021
Region044,16,4,-64,-26,3.51604413986206
Region045,224,4,-48,-20,4.75540781021118
Region051,8,-20,-48,-24,3.29288172721863
Region057,184,2,-60,-20,4.31338548660278
Region059,8,-22,-60,-20,3.39204502105713
Region060,8,-14,-46,-20,3.29350614547729
Region061,64,-8,-38,-18,4.19863748550415
Region072,80,58,-22,-14,4.80345821380615
Region076,16,52,-28,-12,3.4430079460144
Region084,8,36,-16,-12,4.91105651855469
Region093,120,-34,54,-8,4.23723459243774
Region099,192,0,-50,-8,5.41867113113403
Region100,8,-68,-32,-10,3.2615442276001
Region107,848,-38,18,0,5.71982288360596
Region112,8,-4,-16,-6,3.26691436767578
Region113,24,-20,-12,-6,4.07335376739502
Region114,160,2,-6,-4,5.22255039215088
Region115,152,20,-4,-2,7.03448691004784
Region117,48,36,10,-4,3.64873623847961
Region121,128,-4,-28,0,6.21235704421997
Region122,144,-22,-26,2,5.21936368942261
Region130,16,-22,50,0,3.96540331840515
Region133,8,-46,52,0,3.28099322319031
Region138,8,-50,10,2,3.25948691368103
Region139,8,28,16,2,3.49501466751099
Region140,88,36,20,4,4.12466716766357
Region141,8,-12,-70,4,3.40969085693359
Region147,8,-10,-14,6,3.99537467956543
Region148,24,16,8,6,3.82946157455444
Region155,56,-8,-18,14,5.41248273849487
Region158,8,-32,24,10,3.26742815971375
